locus	product	gene 	main role	subrole	regulation	developmental phenotype	core sporulation gene	reference
MXAN0394	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0397	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0398	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0401	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0406	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0410	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0411	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0413	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0420	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0425	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0426	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0427	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0428	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0429	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0446	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0449	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0454	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0464	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0465	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0474	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0475	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0476	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0482	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0484	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0486	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0487	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0488	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0489	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0490	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0492	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0493	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0495	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0497	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0499	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0504	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0505	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0507	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0508	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0509	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0511	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0512	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0513	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0514	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0523	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0536	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0544	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0547	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0549	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0550	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0551	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0565	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0567	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0568	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0569	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0574	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0580	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0584	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0586	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0588	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0589	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0590	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0591	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0592	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0594	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0600	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0601	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0604	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0608	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0620	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0630	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0634	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0636	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0638	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0648	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0649	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0656	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0657	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0668	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0669	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0673	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0679	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0688	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0691	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0694	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0698	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0701	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0703	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0708	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0711	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0735	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0739	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0740	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0741	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0742	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0743	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0745	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0746	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0749	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0757	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0758	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0767	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0769	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0778	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0788	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0789	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0790	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0796	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0801	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0804	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0810	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0811	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0812	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0813	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0816	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0827	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0828	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0833	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0834	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0835	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0838	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0839	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0842	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0843	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0844	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0846	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0847	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0849	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0851	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0868	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0869	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0872	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0875	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0880	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0883	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0890	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0905	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0908	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0910	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0914	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0941	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0942	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0948	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0956	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0957	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0961	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0972	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0973	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0974	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0975	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0982	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN0991	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1006	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1015	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1019	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1020	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1033	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1044	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1045	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1047	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1050	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1051	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1054	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1055	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1058	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1059	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1067	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1069	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1099	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1104	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1107	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1116	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1118	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1120	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1121	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1122	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1131	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1135	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1142	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1149	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1150	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1161	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1165	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1168	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1169	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1172	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1177	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1187	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1195	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1196	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1201	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1202	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1203	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1204	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1205	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1206	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1211	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1213	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1216	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1217	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1218	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1219	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1220	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1221	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1222	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1225	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1227	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1228	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1232	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1242	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1243	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1251	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1260	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1263	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1268	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1274	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1281	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1300	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1302	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1307	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1308	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1309	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1312	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1313	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1331	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1332	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1333	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1339	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1346	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1353	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1355	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1358	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1474	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1475	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1477	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1483	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1492	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1493	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1494	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1496	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1498	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1502	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1506	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1507	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1510	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1511	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1513	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1517	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1522	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1526	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1538	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1540	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1543	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1550	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1566	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1584	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1585	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1592	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1593	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1608	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1609	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1616	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1618	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1625	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1626	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1629	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1631	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1632	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1634	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1641	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1647	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1652	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1655	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1660	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1662	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1669	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1670	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1687	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1693	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1705	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1707	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1708	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1717	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1722	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1723	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1734	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1737	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1738	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1739	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1740	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1745	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1749	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1750	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1753	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1761	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1762	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1767	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1768	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1771	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1772	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1773	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1776	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1780	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1783	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1784	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1786	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1792	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1796	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1802	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1803	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1804	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1813	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1817	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1818	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1822	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1823	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1824	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1825	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1826	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1827	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1828	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1829	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1830	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1832	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1833	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1835	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1837	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1838	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1839	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1841	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1842	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1843	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1847	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1849	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1850	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1854	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1857	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1858	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1859	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1860	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1861	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1865	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1867	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1869	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1874	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1875	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1878	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1879	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1880	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1881	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1883	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1884	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1886	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1888	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1890	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1891	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1893	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1897	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1898	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1899	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1900	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1902	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1903	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1906	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1907	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1916	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1919	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1920	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1923	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1924	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1927	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1949	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1951	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1968	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1973	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1978	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1983	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1984	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1985	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1990	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1991	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1996	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN1999	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2025	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2029	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2036	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2038	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2039	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2053	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2074	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2078	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2083	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2085	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2086	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2087	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2098	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2110	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2111	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2112	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2120	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2124	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2130	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2131	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2132	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2133	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2134	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2139	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2142	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2149	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2153	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2155	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2161	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2163	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2167	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2171	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2172	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2173	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2181	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2182	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2190	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2192	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2195	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2196	hypothetical protein		Hypothetical proteins	unique	not reg			
MXAN2199	hypothetical protein		Hypothetical proteins	unique	not reg			
